Product Name: CAFÉ AU LAIT, Quantity: 3, Size: Tall, Price: 220, Product Image: ./stocks/menu/MENU_img/milk_coffee_img/café_au_lait.jpg
Product Name: MANGO MILKSHAKE, Quantity: 4, Size: Grande, Price: 220, Product Image: ./stocks/menu/MENU_img/milkshake_img/mango milkshake.jpg
Product Name: CREAMY BANANA BLISS!, Quantity: 3, Size: Grande, Price: 190, Product Image: ./stocks/menu/MENU_img/milkshake_img/creamy banana bliss.jpg
Product Name: COFFEE MILKSHAKE, Quantity: 1, Size: Grande, Price: 180, Product Image: ./stocks/menu/MENU_img/milkshake_img/coffee milkshake.jpg
Product Name: BLACK COFFEE, Quantity: 1, Size: Grande, Price: 120, Product Image: ./stocks/menu/MENU_img/black_coffee_img/black_coffee.jpg
Product Name: COLD BREW, Quantity: 3, Size: Grande, Price: 180, Product Image: ./stocks/menu/MENU_img/black_coffee_img/cold_brew.jpgProduct Name: Chicken Alfredo Pasta, Quantity: 1, Size: Venti, Price: 300, Product Image: ./stocks/menu/MENU_img/foods/chicken_alfredo_pasta.jpg
Product Name: DRIP COFFEE, Quantity: 1, Size: Grande, Price: 130, Product Image: ./stocks/menu/MENU_img/black_coffee_img/drip_coffee.jpg
Product Name: Chicken Burger, Quantity: 1, Size: Grande, Price: 180, Product Image: ./stocks/menu/MENU_img/foods/chicken_burger.jpg
Product Name: Chicken Alfredo Pasta, Quantity: 1, Size: Grande, Price: 300, Product Image: ./stocks/menu/MENU_img/foods/chicken_alfredo_pasta.jpg
Product Name: AMERICANO, Quantity: 1, Size: Grande, Price: 150, Product Image: ./stocks/menu/MENU_img/black_coffee_img/americano.jpg
Product Name: Egg Salad Sandwich, Quantity: 1, Size: Grande, Price: 120, Product Image: ./stocks/menu/MENU_img/foods/egg_salad_sandwich.jpg
Product Name: COFFEE MILKSHAKE, Quantity: 1, Size: Grande, Price: 180, Product Image: ./stocks/menu/MENU_img/milkshake_img/coffee milkshake.jpg
Product Name: AMERICANO, Quantity: 1, Size: Grande, Price: 150, Product Image: ./stocks/menu/MENU_img/black_coffee_img/americano.jpg
Product Name: Brownee, Quantity: 1, Size: Grande, Price: 200, Product Image: ./stocks/menu/MENU_img/Sweets/brownee.jpg
Product Name: Veggie Wrap, Quantity: 1, Size: Grande, Price: 140, Product Image: ./stocks/menu/MENU_img/foods/veggie_wrap.jpg
Product Name: COFFEE MILKSHAKE, Quantity: 1, Size: Grande, Price: 180, Product Image: ./stocks/menu/MENU_img/milkshake_img/coffee milkshake.jpg
Product Name: VIENNA COFFEE, Quantity: 1, Size: Grande, Price: 280, Product Image: ./stocks/menu/MENU_img/milk_coffee_img/vienna_coffee.jpg
Product Name: ICED MOCHA, Quantity: 12, Size: Grande, Price: 250, Product Image: ./stocks/menu/MENU_img/milk_coffee_img/iced_mocha.jpg
Product Name: ICED LATTE, Quantity: 5, Size: Grande, Price: 210, Product Image: ./stocks/menu/MENU_img/milk_coffee_img/iced_latte.jpg
Product Name: AMERICANO, Quantity: 4, Size: Grande, Price: 150, Product Image: ./stocks/menu/MENU_img/black_coffee_img/americano.jpg
Product Name: AMERICANO, Quantity: 6, Size: Grande, Price: 150, Product Image: ./stocks/menu/MENU_img/black_coffee_img/americano.jpg
Product Name: AMERICANO, Quantity: 1, Size: Grande, Price: 150, Product Image: ./stocks/menu/MENU_img/black_coffee_img/americano.jpg
